,Ammonium,Crop,Date_actual,Date_found_EVI,Date_found_NDVI,EVI,N20,NDVI,Nitrate,Precip,Stability,Temp,Tmax,Tmin,Treatment1,Treatment_N,WFPS,Year
12,13.724285714285715,Soy,2003-05-30,2003-05-29,2003-05-29,0.804,4.49,0.679,3.5819642857142857,1.016,Stable,13.61,19.87,5.62,T6R2,T6R2,0.3827777777777779,2003
13,9.443696428571428,Soy,2003-05-30,2003-05-29,2003-05-29,0.748,1.27,0.679,2.5287678571428573,1.016,No data,13.61,19.87,5.62,T5R3,T5R3,0.3886007462686568,2003
14,10.030857142857144,Soy,2003-05-30,2003-05-29,2003-05-29,0.569,2.05,0.57,2.514732142857143,1.016,No data,13.61,19.87,5.62,T5R2,T5R2,0.4145074626865673,2003
15,13.195000000000004,Soy,2003-05-30,2003-05-29,2003-05-29,0.938,2.05,0.747,6.778571428571429,1.016,Stable,13.61,19.87,5.62,T6R1,T6R1,0.40829629629629643,2003
16,8.066979166666668,Soy,2003-07-16,2003-07-16,2003-07-16,0.393,0.0,0.463,19.88839583333333,0.0,Stable,19.9,26.31,14.0,T3R3,T3R3,0.22622426470588233,2003
17,5.8345625,Soy,2003-07-16,2003-07-16,2003-07-16,0.382,0.76,0.459,20.3793125,0.0,Stable,19.9,26.31,14.0,T3R1,T3R1,0.42731250000000004,2003
18,2.8451527777777774,Soy,2003-07-16,2003-07-16,2003-07-16,0.453,0.76,0.51,21.7566875,0.0,Stable,19.9,26.31,14.0,T2R1,T2R1,0.2194891304347826,2003
19,6.442222222222223,Soy,2003-07-16,2003-07-16,2003-07-16,0.514,0.0,0.578,33.05159722222222,0.0,Stable,19.9,26.31,14.0,T1R3,T1R3,0.2296666666666667,2003
20,4.827152777777778,Soy,2003-07-16,2003-07-16,2003-07-16,0.441,0.0,0.488,15.12604166666667,0.0,Unstable,19.9,26.31,14.0,T1R2,T1R2,0.3827777777777779,2003
21,7.205,Soy,2003-07-16,2003-07-16,2003-07-16,0.37,0.76,0.433,21.030958333333334,0.0,Stable,19.9,26.31,14.0,T4R1,T4R1,0.20725373134328365,2003
22,7.2295625,Soy,2003-07-16,2003-07-16,2003-07-16,0.31,3.13,0.378,27.443590277777776,0.0,Unstable,19.9,26.31,14.0,T4R4,T4R4,0.3886007462686568,2003
23,12.826,Soy,2003-07-16,2003-07-16,2003-07-16,0.867,0.38,0.783,3.7473333333333336,0.0,No data,19.9,26.31,14.0,T7R4,T7R4,0.2630075187969926,2003
24,29.6505,Soy,2003-07-16,2003-07-16,2003-07-16,0.567,0.76,0.592,3.1157500000000002,0.0,No data,19.9,26.31,14.0,T7R2,T7R2,0.2893082706766918,2003
25,11.006666666666668,Soy,2003-07-16,2003-07-16,2003-07-16,0.32,0.76,0.388,18.99805555555556,0.0,Stable,19.9,26.31,14.0,T6R4,T6R4,0.2807037037037038,2003
26,11.178194444444445,Soy,2003-07-16,2003-07-16,2003-07-16,0.228,1.61,0.289,20.631180555555556,0.0,Stable,19.9,26.31,14.0,T6R3,T6R3,0.40829629629629643,2003
27,15.674930555555555,Soy,2003-07-16,2003-07-16,2003-07-16,0.255,3.61,0.304,15.688472222222222,0.0,Stable,19.9,26.31,14.0,T6R1,T6R1,0.3062222222222223,2003
28,12.749756944444446,Soy,2003-07-16,2003-07-16,2003-07-16,0.718,0.0,0.73,3.3295833333333333,0.0,No data,19.9,26.31,14.0,T5R3,T5R3,0.284973880597015,2003
