,Ammonium,CDI,Clay,Crop,Date_actual,Date_found_EVI,Date_found_NDVI,EVI,LAI,N20,NDVI,NF,N_plant,Nitrate,Precip,Sand,Silt,Stability,Temp,Tmax,Tmin,Treatment1,WFPS,Year
0,6.158589999999999,1.0,15.002631578947366,Corn,1991-06-12,1991-06-06,1991-06-06,0.296,1.742232,15.5,0.318,1.0,0.0,3.7399370000000003,0.0,32.9921052631579,41.56578947368421,Unstable,21.7,27.5,16.1,T1R2,0.16516588588311537,1991
1,9.444775,1.0,15.002631578947366,Corn,1991-06-12,1991-06-06,1991-06-06,0.409,1.873644,14.1,0.445,1.0,0.0,15.967744,0.0,32.9921052631579,41.56578947368421,Stable,21.7,27.5,16.1,T1R3,0.13327423184461537,1991
2,6.015669,1.0,15.002631578947366,Corn,1991-06-12,1991-06-06,1991-06-06,0.423,1.847073,2.7,0.455,1.0,0.0,4.635512,0.0,32.9921052631579,41.56578947368421,Stable,21.7,27.5,16.1,T1R4,0.18394552278911538,1991
3,3.996424,1.0,16.39444444444444,Corn,1991-06-12,1991-06-06,1991-06-06,0.308,1.824393,114.1,0.33,1.0,0.0,7.5787770000000005,0.0,44.94722222222222,38.675000000000004,Stable,21.7,27.5,16.1,T2R1,0.14723114807692309,1991
4,3.1528460000000003,1.0,16.39444444444444,Corn,1991-06-12,1991-06-06,1991-06-06,0.262,1.859362,4.9,0.287,1.0,0.0,5.330594,0.0,44.94722222222222,38.675000000000004,Stable,21.7,27.5,16.1,T2R2,0.23766792096907693,1991
5,3.432574,1.0,16.39444444444444,Corn,1991-06-12,1991-06-06,1991-06-06,0.275,1.872165,16.6,0.294,1.0,0.0,5.865897,0.0,44.94722222222222,38.675000000000004,Stable,21.7,27.5,16.1,T2R3,0.1865892992716923,1991
6,2.975171,1.0,16.39444444444444,Corn,1991-06-12,1991-06-06,1991-06-06,0.262,1.83398,18.2,0.287,1.0,0.0,5.869458,0.0,44.94722222222222,38.675000000000004,Stable,21.7,27.5,16.1,T2R4,0.18298244858399998,1991
7,40.819515,1.0,15.002631578947366,Corn,1991-07-03,1991-07-08,1991-07-08,0.696,2.615239,0.0,0.703,0.995548,2.4755119999999806,175.332507,19.05,32.9921052631579,41.56578947368421,Unstable,24.1,28.9,19.2,T1R2,0.37211458609753845,1991
8,48.488084,1.0,15.002631578947366,Corn,1991-07-03,1991-07-08,1991-07-08,0.685,2.65239,4.6,0.706,0.995666,2.383650999999986,212.91545200000002,19.05,32.9921052631579,41.56578947368421,Stable,24.1,28.9,19.2,T1R3,0.337896247752577,1991
9,35.191888000000006,1.0,15.002631578947366,Corn,1991-07-03,1991-07-08,1991-07-08,0.548,2.629955,0.3,0.62,0.996595,2.0652049999999917,200.407621,19.05,32.9921052631579,41.56578947368421,Stable,24.1,28.9,19.2,T1R4,0.3905085778446154,1991
